product_id,gender,category,article_type,base_colour,occasion,available_sizes,pattern,sleeve_type,neck_type,material,style,description,price,image_path
P648,Women,Bottomwear,Jeans,Blue,Casual,"XS, S, M, L, XL",Solid,NA,NA,Cotton Denim,Casual,"Dark blue skinny-fit denim jeans with subtle distressed detailing, raw frayed hem.",2970,Images/P648.jpg
P649,Women,Ethnic Wear,Lehenga Choli,Red and Navy Blue,Party and Wedding,"S, M, L, XL",Floral Print,Sleeveless,Boat Neck,Art Silk,Traditional,Red sleeveless crop top with navy blue floral printed lehenga skirt and multicolored printed dupatta.,5100,Images/P649.jpg
P650,Women,Western Wear,Sweatshirt,Brown,Casual,"XS, S, M, L, XL/XXXL",Solid,Full Sleeve,Round Neck,Cotton Blend,Casual,Solid brown crew-neck sweatshirt with ribbed cuffs and hem.,1120,Images/P650.jpg
P651,Women,Ethnic Wear,Salwar Kameez,Pink,Party,"S, M, L, XL",Woven,Full Sleeve,V-Neck,Art Silk,Traditional,"Pink art silk kurta with V-neckline, matching palazzo pants and dupatta with gold and silver zari.",1320,Images/P651.jpg
P652,Women,Ethnic Wear,Co-ord Set,Pink,Casual,"S, M, L, XL",Striped and Geometric Print,Three-Quarter Sleeve,Round Neck,Cotton,Indo-Western,"Three-piece pink cotton set with sleeveless inner top, striped palazzo pants, and longline geometric print jacket.",2640,Images/P652.jpg
P653,Women,Ethnic Wear,Co-ord Set,Maroon,Party,"S, M, L, XL/XXL",Embroidered,Full Sleeve,Round Neck,Velvet,Contemporary,Maroon velvet co-ord set with long-sleeved crop top with gold embroidered motifs and matching velvet skirt.,590,Images/P653.jpg
P655,Women,Ethnic Wear,Kurta Set,Yellow,Party and Wedding,"S, M, L, XL, XXL",Embroidered,Three-Quarter,V-Neck,Cotton,Ethnic,"Yellow cotton kurta with teal embroidered dupatta and matching palazzo pants, sequin and thread work.",1440,Images/P655.jpg
P656,Women,Western Wear,Jumpsuit,Pink,Casual,"XS, S, M, L, XL/XXXL",Floral,Sleeveless,Halter Neck,Rayon,Boho,"Pink floral print halter-neck jumpsuit with tie-up front, side cut-outs, wide-leg silhouette.",3170,Images/P656.jpg
P657,Women,Ethnic Wear,Kurta Set,Brown,Party and Wedding,"S, M, L, XL, XXL",Printed,Three-Quarter,Round Neck,Silk Blend,Ethnic,"Brown and grey printed silk blend kurta set with matching dupatta and palazzo, zari border detailing.",1010,Images/P657.jpg
P658,Women,Bottomwear,Trousers,White,Casual,"XS, S, M, L, XL, XXL",Solid,NA,NA,Cotton,Casual,"White cotton cropped trousers with elasticated waistband, relaxed fit, ankle-length hem.",5400,Images/P658.jpg
P660,Women,Bottomwear,Skirt,Yellow,Casual,"XS, S, M, L/XXXXL",Solid,NA,NA,Cotton,A-Line,Yellow flared mini skirt with elastic waistband.,6160,Images/P660.jpg
P661,Women,Topwear,Hoodie,Green,Casual,"S, M, L, XL",Solid,Full Sleeve,Hood,Cotton,Loungewear,Lime green hoodie loungewear set with drawstring hood and matching pants.,7140,Images/P661.jpg
P662,Women,Topwear,Sweater,Green,Casual,"XS, S, M, L, XL/XXXL",Solid,Full Sleeve,Turtleneck,Cotton,Regular,Emerald green turtleneck sweater with ribbed cuffs and hem.,1700,Images/P662.jpg
P663,Women,Bottomwear,Maxi Skirt,Purple,Casual,"S, M, L, XL",Ethnic Print,NA,NA,Cotton,A-Line,Purple wrap-style maxi skirt with traditional Indian elephant and paisley motifs.,800,Images/P663.jpg
P664,Women,Topwear,Tank Top,Black,Casual,"XS, S, M, L, XL",Solid,Sleeveless,Square Neck,Cotton Blend,Minimalist,"Solid black sleeveless tank top with square neckline and wide straps, form-fitting.",3040,Images/P664.jpg
P665,Women,Topwear,Blouse,Mustard Yellow,Formal,"XS, S, M, L, XL",Striped,Flutter Sleeve,V-Neck,Rayon,Feminine,"Mustard yellow and white vertical striped blouse with flutter sleeves, V-neckline.",2990,Images/P665.jpg
P666,Women,Bottomwear,Skirt,Black,Party,"XS, S, M, L, XL/XXXXL",Solid,NA,NA,Faux Leather,Edgy,"Black faux leather mini skirt with dual front zipper detailing, A-line cut.",1070,Images/P666.jpg
P667,Women,Ethnic Wear,Lehenga Set,Peach,Party and Wedding,"S, M, L, XL",Embellished,Half Sleeve,Round Neck,Chiffon,Traditional,"Peach-toned lehenga set with heavily sequined and embroidered crop top, flowing chiffon skirt with tiered ruffle detailing.",1580,Images/P667.jpg
P668,Women,Ethnic Wear,Saree,Dusty Rose,Party and Wedding,Free Size,Floral Embroidered,NA,NA,Chiffon,Traditional,Dusty rose chiffon saree with intricate all-over floral embroidery and scalloped edges.,990,Images/P668.jpg
P669,Women,Bottomwear,Pants,Green,Loungewear,"XS, S, M, L, XL",Chain Print,Full Sleeve,Round Neck,Polyester,Pajama Set,Green and white chain-link printed matching loungewear co-ord set with relaxed-fit top and straight-leg pants.,1160,Images/P669.jpg
P670,Women,Topwear,Sweatshirt,Blue,Sports,"XS, S, M, L, XL",Solid,Full Sleeve,Cowl Neck,Cotton Blend,Athleisure,New Balance teal blue cowl-neck sweatshirt paired with black jogger pants.,1210,Images/P670.jpg
P671,Women,Bottomwear,Skirt,Black,Casual,"XS, S, M, L, XL",Solid,NA,NA,Cotton,A-Line,"Black paper-bag waist mini skirt with self-tie bow belt, knife pleats, flared A-line silhouette.",1120,Images/P671.jpg
P672,Women,Outerwear,Jacket,Sage Green,Casual,"XS, S, M, L, XL",Solid,Full Sleeve,Mandarin Collar,Polyester,Bomber,"Light sage green bomber jacket with full-front zip, ribbed knit collar/cuffs/hem.",850,Images/P672.jpg
P673,Women,Bottomwear,Jeans,Blue,Casual,"26, 28, 30, 32, 34/XXXXL",Solid,NA,NA,Denim,Skinny,Light-wash blue skinny jeans with heavy distressing including large rips at knees and thighs.,6650,Images/P673.jpg
P674,Women,Topwear,T-shirt,White,Casual,"XS, S, M, L, XL",Solid,Short Sleeves,Round Neck,Cotton,Oversized,White oversized t-shirt with relaxed fit and side slit detail.,790,Images/P674.jpg
P675,Women,Topwear,Top,Purple,Party,"S, M, L, XL/XXXXL",Solid,Flared Sleeves,Square Neck,Crepe,Contemporary,"Purple solid top with square neckline, metal ring shoulder accent, and flared sleeves.",3460,Images/P675.jpg
P676,Women,Indian Wear,Saree,Red,Party and Wedding,Free Size,Embroidered,Sleeveless,Round Neck,Georgette,Traditional,Red georgette saree with intricate silver embroidered border and scattered sequin embellishments.,1320,Images/P676.jpg
P677,Women,Bottomwear,Trousers,Black,Formal,"XS, S, M, L, XL",Textured,NA,NA,Cotton Blend,Formal,Black and white textured tweed trousers with sleek black side stripe.,4620,Images/P677.jpg
P678,Women,Outerwear,Blazer,Olive Green,Formal,"S, M, L, XL",Solid,Long Sleeves,Open Front,Polyester Blend,Structured,Olive green open-front blazer with clean tailoring and minimalist design.,2930,Images/P678.jpg
P679,Women,Bottomwear,Palazzo Pants,White,Casual,"XS, S, M, L, XL",Solid,NA,NA,Crepe,Contemporary,"High-waisted white palazzo pants with vertical seam detail, wide leg, smooth crepe fabric.",1860,Images/P679.jpg
P680,Women,Ethnic Wear,Kurta,Black,Party and Wedding,Free Size/XXL,Checked,NA,NA,Cotton Blend,Ethnic,Pack of 2 cotton blend dupattas in red with grey checked geometric block print and tassel fringe.,690,Images/P680.jpg
P681,Women,Ethnic Wear,Lehenga Choli Set,Red,Party and Wedding,"S, M, L, XL, XXL",Floral,Short Sleeve,Round Neck,Art Silk,Traditional,"Floral printed art silk lehenga choli set with cream base lehenga, red blouse with gold bow accent.",5160,Images/P681.jpg
P682,Women,Bottomwear,Trouser,Navy Blue,Casual,"S, M, L, XL/XXL",Solid,NA,NA,Cotton,Relaxed,"Navy blue relaxed-fit cotton trousers with elasticated waistband, side pockets, straight leg.",1340,Images/P682.jpg
P683,Women,Topwear,Sweater,Light Blue,Casual,"XS, S, M, L, XL/XXXL",Textured,Full Sleeve,Round Neck,Cotton,Casual,"Light blue chunky ribbed knit cotton sweater with round neck, full balloon sleeves, waffle knit pattern.",990,Images/P683.jpg
P684,Women,Western Wear,Jacket,Grey,Formal,"S, M, L, XL",Plaid,Full Sleeve,Notched Lapel,Polyester Blend,Biker Jacket,Grey and black plaid biker jacket with asymmetric gold zip closure and notched lapel collar.,1690,Images/P684.jpg
P685,Women,Ethnic Wear,Saree,Maroon,Party and Wedding,Free Size/XXXXL,Tie-Dye,Sleeveless,Round Neck,Art Silk,Traditional,Maroon and cream tie-dye art silk saree with gold zari border and pallu.,1550,Images/P685.jpg
P686,Women,Ethnic Wear,Kurta Set,Purple,Party and Wedding,"S, M, L, XL, XXL",Buta,Sleeveless,Square Neck,Art Silk,Anarkali,"Purple art silk Anarkali kurta set with gold buta weave, matching palazzo pants, dupatta with tassels.",5060,Images/P686.jpg
P687,Women,Western Wear,Sweater,Black,Casual,"S, M, L, XL",Solid,Full Sleeve,Round Neck,Polyester Blend,Puffer,"Solid black textured puffer sweater with round neck and ribbed cuffs, subtle shimmer finish.",3350,Images/P687.jpg
P688,Women,Western Wear,Trousers,Green,Casual,"XS, S, M, L, XL",Solid,NA,NA,Linen Blend,Palazzo,Sage green linen blend wide-leg palazzo pants with elastic drawstring waist and front pockets.,2480,Images/P688.jpg
P689,Women,Outerwear,Bomber Jacket,Black and White,Casual,"S, M, L, XL/XXL",Checkered,Full Sleeve,Round Neck,Polyester,Casual,"Black and white checkered print bomber jacket with black ribbed collar, cuffs and hem.",4700,Images/P689.jpg
P690,Women,Bottomwear,Shorts,Beige,Casual,"XS, S, M, L, XL",Solid,NA,NA,Cotton,Casual,"Beige cotton casual shorts with self-fabric tie belt at waist, folded hem detailing.",1760,Images/P690.jpg
P691,Women,Bottomwear,Shorts,Maroon,Casual,"XS, S, M, L, XL",Solid,NA,NA,Cotton,Casual,"Maroon paperbag waist shorts with self-tie belt through metal grommets, relaxed fit.",1170,Images/P691.jpg
P692,Women,Ethnic Wear,Lehenga Choli,Green,Party and Wedding,"S, M, L, XL",Floral,Sleeveless,Round Neck,Net,Traditional,"Green sleeveless crop blouse with floral embroidery, olive green net lehenga skirt with sequins, embroidered dupatta.",1360,Images/P692.jpg
P693,Women,Outerwear,Rain Jacket,Beige,Casual,"S, M, L, XL/XXXL",Solid,Full Sleeve,Hooded,Polyester,Casual,"Beige oversized hooded rain jacket with front zip closure, lightweight waterproof fabric.",870,Images/P693.jpg
P694,Women,Ethnic,Lehenga Choli,Dark Green,Party and Wedding,"S,M,L,XL,XXL",Striped,Half Sleeve,Round Neck,Georgette,Embroidered,"Dark green georgette lehenga choli with sequin and thread embroidery, vertical striped pattern.",6910,Images/P694.jpg
P695,Women,Ethnic,Saree,Red,Party and Wedding,Free Size,Floral,Short Sleeve,Round Neck,Silk,Banarasi,"Red Banarasi silk saree with gold zari border, intricate floral and geometric motifs.",1200,Images/P695.jpg
P696,Women,Western,T-Shirt,Black,Casual,"XS,S,M,L,XL",Solid,Short Sleeve,Round Neck,Cotton,Streetwear,"Black cotton t-shirt with white contrast sleeve trim, paired with grey washed denim jeans.",1210,Images/P696.jpg
P697,Women,Ethnic,Kurta,Grey,Party and Wedding,"S,M,L,XL,XXL",Embroidered,Three-Fourth Sleeve,Mandarin Collar,Cotton,Contemporary Ethnic,"Light grey cotton kurta with white thread embroidery on yoke panel, mandarin collar, flared hem.",3870,Images/P697.jpg
P698,Women,Western,Jacket,Beige,Casual,"XS,S,M,L,XL/XXL",Quilted,Full Sleeve,Shirt Collar,Nylon,Quilted Overlay,"Beige nylon quilted long jacket with white contrast collar and cuffs, snap button front.",1230,Images/P698.jpg
P699,Women,Topwear,Crop Top,White,Casual,"S, M, L, XL",Solid,Spaghetti Strap,Square Neck,Cotton Blend,Casual,"White spaghetti strap crop top with square neckline, cropped length, minimalist design.",3940,Images/P699.jpg
P701,Women,Bottomwear,Palazzo Pants,Green,Casual,"S, M, L, XL",Solid,NA,NA,Rayon,Casual,"Light green wide leg palazzo pants with elasticized waist, flowy lightweight fabric.",860,Images/P701.jpg
P704,Women,Ethnic Wear,Kurta with Palazzo,Blue,Party and Wedding,"S, M, L, XL, XXL",Floral Print,Three-Quarter Sleeves,Round Neck,Cotton,Ethnic Contemporary,Blue and green floral printed kurta paired with navy blue palazzo pants.,1520,Images/P704.jpg
P705,Women,Western Wear,Top,Black,Party,"XS, S, M, L, XL",Solid,Puff Sleeves,Sweetheart Neck,Polyester Blend,Statement Glam,Black bustier-style top with dramatic pink puff sleeves and sweetheart neckline.,1000,Images/P705.jpg
P706,Women,Western Wear,Camisole Top with Skirt Set,Black,Casual,"XS, S, M, L, XL",Floral Print,Sleeveless,Spaghetti Strap,Cotton Blend,Trendy Casual,"Black and white floral printed camisole top with fitted black pencil skirt, lime green shrug.",1730,Images/P706.jpg
P707,Women,Western Wear,Dress,Pink,Party,"XS, S, M, L, XL/XXXXL",Solid,Short Puff Sleeves,V-Neck,Viscose,Elegant Casual,"Pink midi bodycon dress with V-neckline, short puff sleeves, self-tie belt at waist.",1610,Images/P707.jpg
P708,Women,Western Wear,Sweatshirt,Pink,Casual,"XS, S, M, L, XL/XXXL",Graphic Print,Long Sleeves,Round Neck,Cotton Fleece,Casual Streetwear,Light pink crew-neck sweatshirt with black and white Mickey and Minnie Mouse graphic print.,1360,Images/P708.jpg
P709,Women,Ethnic,Lehenga Choli,Pink,Party and Wedding,"S, M, L, XL, XXL",Embroidered,Short Sleeves,Round Neck,Silk,Traditional,"Pink silk blouse with short sleeves, dark green embroidered lehenga skirt with multicoloured border.",2650,Images/P709.jpg
P710,Women,Ethnic,Kurta,Green,Party and Wedding,"S, M, L, XL, XXL",Floral,Three-Quarter Sleeves,Round Neck,Cotton,Contemporary,"Light mint green cotton kurta with white floral embroidery, round neck, paired with pink trousers.",3550,Images/P710.jpg
P711,Women,Western,Top,White,Casual,"XS, S, M, L, XL",Floral,Sleeveless,Round Neck,Rayon,Peplum,"White sleeveless peplum top with colourful floral print, decorative border, front button placket.",1750,Images/P711.jpg
P712,Women,Western,Skirt,Blue,Formal,"XS, S, M, L, XL",Geometric,NA,NA,Crepe,Pencil,"turquoise blue geometric pattern pencil skirt with front side slit, midi length.",960,Images/P712.jpg
P713,Women,Western,Dress,Cream,Party,"XS, S, M, L, XL/XXXXL",Geometric,Long Sleeves,V-Neck,Rayon,Cutout,"Cream coloured romper dress with blue geometric lattice pattern, long balloon sleeves, waist cutout details.",6230,Images/P713.jpg
P715,Women,Western Wear,Sweatshirt,Cream,Casual,"S, M, L, XL/XXXXL",Solid,Full Sleeve,Half Zip Collar,Cotton Blend,Streetwear,"Cream half-zip sweatshirt with kangaroo pocket, FEARLESS LIMITLESS tape detailing.",1000,Images/P715.jpg
P716,Women,Western Wear,Denim Jacket,Black,Casual,"XS, S, M, L, XL",Solid,Full Sleeve,Collar,Denim,Casual,"Black denim jacket with metal stud embellishments on shoulders, faded bleach effect patches.",3350,Images/P716.jpg
P717,Women,Ethnic Wear,Saree,Green,Party and Wedding,Free Size,Solid,NA,NA,Cotton,Traditional,"Solid green cotton saree with pink border, pink striped pallu, decorative tassel hangings.",880,Images/P717.jpg
P718,Women,Western Wear,Shirt,Light Blue,Formal,"S, M, L, XL, XXL",Solid,Short Flutter Sleeve,Collar,Chambray,Relaxed Fit,"Oversized light blue chambray shirt with wide flutter sleeves, front button closure.",600,Images/P718.jpg
P719,Women,Ethnic Wear,Saree,Orange,Party and Wedding,Free Size,Plain,Cap Sleeves,Round Neck,Georgette,Traditional,"Orange georgette saree with maroon blouse featuring gold embroidery, pearl-bead border.",1880,Images/P719.jpg
P720,Women,Western Wear,Jumpsuit,Black,Casual,"S, M, L, XL/XXXL",Striped,Sleeveless,Strapless,Cotton Blend,Streetwear,"Black strapless jumpsuit with white side stripe, drawstring waist, jogger-style ankles.",4440,Images/P720.jpg
P722,Women,Western Wear,Jacket,Blue,Casual,"XS, S, M, L, XL",Solid,Full Sleeves,Collar Neck,Denim,Casual,"Light-wash acid denim jacket with sherpa fleece lining, button-front, chest flap pockets.",1480,Images/P722.jpg
P723,Women,Ethnic Wear,Saree,Mauve,Party and Wedding,Free Size,Floral Embroidered,Sleeveless,Square Neck,Georgette,Contemporary ethnic,"Dusty mauve georgette saree with matching sleeveless blouse, delicate floral embroidery.",1180,Images/P723.jpg
P724,Women,Ethnic,Lehenga Choli Set,Pista Green,Party and Wedding,"S, M, L, XL",Embroidered,Short Sleeve,Round Neck,Net,Traditional,Pista green lehenga choli set with mirror work and thread embroidery.,6930,Images/P724.jpg
P725,Women,Ethnic,Kurta Set,Red,Party and Wedding,"S, M, L, XL/XXXXL",Floral Print,Bell Sleeve,Split Neck,Cotton,Indo-Western,"Red floral print cotton kurta with bell sleeves, printed palazzo pants, contrasting dupatta.",4360,Images/P725.jpg
P726,Women,Western,Hoodie,Maroon,Casual,"XS, S, M, L, XL/XXXXL",Solid,Long Sleeve,Hooded,Cotton Blend,Streetwear,Maroon cropped hoodie with white drawstrings and ribbed hem.,2110,Images/P726.jpg
P727,Women,Western,Sweater,Blue,Casual,"S, M, L, XL/XXXXL",Textured,Long Sleeve,Round Neck,Acrylic,Contemporary,Blue eyelash knit textured sweater with soft fuzzy finish and round neckline.,3590,Images/P727.jpg
P728,Women,Ethnic,Lehenga Choli Set,Yellow,Party and Wedding,"S, M, L, XL",Embroidered,Short Sleeve,Round Neck,Silk Blend,Traditional,"Yellow silk blend lehenga with detailed floral embroidery, coral pink dupatta.",5990,Images/P728.jpg
P729,Women,Western Wear,Jacket,Black,Casual,"S, M, L, XL",Floral,Three-Quarter Sleeve,Open Front,Lace,Contemporary,Black lace open-front jacket with intricate floral lace pattern.,6900,Images/P729.jpg
P730,Women,Ethnic Wear,Poncho,Red,Casual,One Size/XXL,Geometric,Poncho Style,Hooded,Wool Blend,Bohemian,"Red and black hooded poncho with geometric patterns, button closure, fringed tassels.",3280,Images/P730.jpg
P731,Women,Western Wear,Palazzo Pants,Red,Casual,"XS, S, M, L, XL",Floral,N/A,N/A,Viscose,Contemporary,Red wide-leg palazzo pants with vibrant yellow and blue floral print.,1250,Images/P731.jpg
P732,Women,Western Wear,Jogger Pants,Blue,Casual,"S, M, L, XL, XXL",Solid,N/A,N/A,Denim,Athleisure,"Blue denim jogger pants with elasticated waistband, drawstring, cargo pocket, cuffed ankles.",900,Images/P732.jpg
P733,Women,Ethnic Wear,Lehenga Choli Set,Green,Party and Wedding,"XS, S, M, L, XL/XXXXL",Embellished,Full Sleeve,Round Neck,Net and Sequins,Contemporary ethnic,Green sequined crop top with layered ruffled net lehenga skirt.,4320,Images/P733.jpg
P734,Women,Ethnic Wear,Kurta Set,Maroon,Party and Wedding,"S, M, L, XL, XXL",Printed,Three-Quarter,Round,Cotton,Traditional,"Maroon cotton kurta with printed dupatta featuring floral and geometric patterns, yellow pants.",3400,Images/P734.jpg
P735,Women,Ethnic Wear,Lehenga Set,Black,Party and Wedding,"S, M, L, XL/XXXL",Embroidered,Three-Quarter,Round,Georgette,Traditional,Black georgette lehenga choli with intricate silver and gold floral embroidery.,2910,Images/P735.jpg
P736,Women,Ethnic Wear,Kurta Set,White,Party and Wedding,"S, M, L, XL, XXL",Polka Dot,Three-Quarter,Keyhole,Cotton and Silk,Traditional,"White cotton kurta with polka dots, keyhole neckline, orange Banarasi silk dupatta.",3420,Images/P736.jpg
P738,Women,Accessories,Shawl,Beige,Party,Free Size,Solid with Embroidered Border,N/A,N/A,Wool,Traditional Indian,Beige wool shawl with rust-red embroidered paisley border.,1630,Images/P738.jpg
P739,Women,Ethnic Wear,Kurti,Green,Casual,"S, M, L, XL, XXL",Floral,Three-quarter,Round,Cotton,Straight,"Teal green cotton kurta with gold floral tree motifs, round neck, white pants.",1900,Images/P739.jpg
P740,Women,Ethnic Wear,Suit Set,Grey,Party,"S, M, L, XL, XXL",Embroidered,Three-quarter,Round,Silk Blend,Straight,"Grey silk blend kurta with multicoloured embroidered yoke, yellow pants, matching yellow dupatta.",2670,Images/P740.jpg
P741,Women,Western Wear,Jeans,Blue,Casual,"26, 28, 30, 32, 34",Solid,NA,NA,Denim,Slim Fit,"Dark blue denim jeans with mid-rise waist, classic five-pocket styling, slim tapered fit.",4770,Images/P741.jpg
P742,Women,Ethnic Wear,Kurti,Red,Party,"S, M, L, XL, XXL",Woven,Three-quarter,Square,Art Silk,A-Line,"Red art silk kurta with gold and cream woven jacquard motifs, square neckline.",2510,Images/P742.jpg
P743,Women,Western Wear,Jumpsuit,Pink,Casual,"XS, S, M, L, XL/XXL",Floral,Sleeveless,Square,Viscose,Wide Leg,"Dusty pink viscose jumpsuit with all-over floral print, spaghetti straps, wide-leg silhouette.",3740,Images/P743.jpg
P744,Women,Tops,Crop Top,White,Casual,"XS, S, M, L, XL/XXL",Embroidered,Sleeveless,Round Neck,Cotton,Bohemian,White sleeveless cropped top with turquoise and gold ethnic embroidery.,5440,Images/P744.jpg
P745,Women,Bottomwear,Jeans,Navy Blue,Casual,"26, 28, 30, 32, 34",Solid,NA,NA,Denim,Slim Fit,"Dark navy blue skinny fit jeans with classic five-pocket styling, stretch denim.",1730,Images/P745.jpg
P746,Women,Western Wear,Romper,Multicolour,Casual,"XS, S, M, L, XL",Striped,Short Sleeves,V-Neck,Polyester,Contemporary,"Multicoloured striped romper with bold red, navy blue, light blue, white vertical stripes.",1210,Images/P746.jpg
P747,Women,Western Wear,Blazer,Black,Formal,"XS, S, M, L, XL",Solid,Long Sleeves,Notch Lapel,Polyester Blend,Power Dressing,Structured oversized black blazer with notch lapels and single-button closure.,790,Images/P747.jpg
P748,Women,Bottomwear,Palazzos,Blue,Casual,"S, M, L, XL, XXL",Geometric,NA,NA,Cotton,Bohemian,"Blue and white geometric printed palazzo pants, tribal-inspired pattern, elasticated waistband.",3000,Images/P748.jpg
P749,Women,Bottomwear,Palazzo Pants,Blue,Casual,"S, M, L, XL",Solid,N/A,N/A,Rayon,Relaxed Fit,Solid blue wide-leg palazzo pants with elasticated smocked waistband and side pockets.,3940,Images/P749.jpg
P750,Women,Ethnic Wear,Kurta ,Red,Party and Wedding,"S, M, L, XL, XXL",Embroidered,Three-Quarter Sleeve,Round Neck,Cotton Blend,Anarkali,"Red Anarkali kurta set with embroidered yoke, matching pants, floral printed sheer dupatta.",1010,Images/P750.jpg
P751,Women,Ethnic Wear,Pre-Draped Saree,Lavender,Party and Wedding,"S, M, L, XL/XXXL",Textured,Sleeveless,Round Neck,Georgette,Indo-Western,"Lavender pre-draped saree with ruffled and pleated detailing, sequin-embellished blouse.",1650,Images/P751.jpg
P752,Women,Western Wear,Co-ord Set,Lavender,Casual,"XS, S, M, L, XL/XXXXL",Textured,Short Sleeve,V-Neck,Cotton Jersey,Streetwear,"Lavender two-piece co-ord set with cropped V-neck tee, matching drawstring mini skirt.",1470,Images/P752.jpg
P753,Women,Ethnic Wear,Lehenga Choli Set,Pink,Party and Wedding,"S, M, L, XL",Embroidered,Short Sleeve,V-Neck,Net,Traditional,Pink lehenga choli set with silver leaf-pattern sequin embroidery on net fabric.,7670,Images/P753.jpg
P754,Women,Ethnic,Lehenga Choli,Pink,Party and Wedding,"S, M, L, XL",Embroidered,Short Sleeve,Round Neck,Silk,Traditional,"Pink silk lehenga choli with intricate silver thread embroidery, matching net dupatta.",550,Images/P754.jpg
P755,Women,Ethnic,Lehenga Choli,Pink,Party and Wedding,"S, M, L, XL",Embroidered,Sleeveless,Round Neck,Georgette,Indo Western,"Pink georgette lehenga choli with multicolor embroidered sleeveless blouse, tiered ruffle skirt.",880,Images/P755.jpg
P756,Women,Ethnic,Saree,Silver Grey,Party and Wedding,Free Size/XXXL,Floral Print,Short Sleeve,V Neck,Satin,Contemporary,"Silver grey satin saree with muted floral print, contrasting black short-sleeve blouse.",960,Images/P756.jpg
P758,Women,Ethnic,Kurti,Black,Casual,"S, M, L, XL",Geometric Print,Long Sleeve,V Neck,Cotton,Indo Western,"Black cotton kurti with white geometric tribal-inspired print, wrap-style V-neck.",1470,Images/P758.jpg
P759,Women,Ethnic Wear,Lehenga Choli Set,Mint Green,Party and Wedding,"S, M, L, XL, XXL",Floral Embroidery with Sequins,Three-Quarter Sleeves,Sweetheart Neck,Net and Georgette,Traditional,"Mint green lehenga choli with white floral embroidery and sequin embellishments, ruffled net dupatta.",620,Images/P759.jpg
P760,Women,Ethnic Wear,Lehenga Choli Set,Orange,Party and Wedding,"S, M, L, XL/XXXXL",Floral Weave with Zari Border,Short Sleeves,Round Neck,Art Silk,Traditional,"Vibrant orange art silk lehenga set with floral weaving, zari border, pink polka dot dupatta, potli bag.",2480,Images/P760.jpg
P761,Women,Western Wear,Blouse,White and Blue,Formal,"XS, S, M, L, XL/XXL",Floral Print,Full Sleeves,High Neck/Mock Neck,Chiffon,Feminine Chic,"Elegant white chiffon blouse with delicate blue floral print, gathered high neck.",4510,Images/P761.jpg
P762,Women,Western Wear,Sweater,Mustard Yellow,Casual,"XS, S, M, L, XL",Ribbed Knit,Full Sleeves,Half-Zip Mock Neck,Cotton Blend,Casual Streetwear,"Mustard yellow ribbed knit sweater with half-zip mock neck, waffle knit pattern.",7980,Images/P762.jpg
P763,Women,Western Wear,Kimono/Shrug,Multi-Color,Casual,Free Size,Geometric/Tribal Print,Three-Quarter Sleeves,Open Front,Rayon,Bohemian,"Multi-color kimono shrug with bold geometric tribal print, open-front, tassel details.",4090,Images/P763.jpg
P764,Women,Ethnic Wear,Saree,Maroon,Party and Wedding,Free Size,Embroidered,Elbow Length,Round,Art Silk,Traditional,Maroon art silk saree with intricate silver-gold zari embroidery and paisley motifs.,1700,Images/P764.jpg
P765,Women,Top,Tunic Top,Sea Green,Casual,"S, M, L, XL, XXL",Floral Embroidered,Three-Quarter Bell,Round,Cotton,Boho,Sea green cotton tunic top with pink and green floral embroidery.,1750,Images/P765.jpg
P766,Women,Ethnic Wear,Kurrta,Red,Casual,Free Size/XXXXL,Floral Printed,NA,NA,Cotton,Traditional,"Red cotton dupatta with black floral block print, tassel fringe edges.",930,Images/P766.jpg
P767,Women,Top,T-Shirt,Teal,Formal,"S, M, L, XL",Solid,Short Sleeve,Round,Cotton,Casual,Teal solid cotton top with short raglan sleeves and delicate lace trim.,580,Images/P767.jpg
P768,Women,Top,Peplum Top,Red,Formal,"S, M, L, XL",Embroidered,Three-Quarter Bell,Mandarin,Cotton,Boho,"Red cotton peplum top with black embroidered polka dots, flared waist.",2870,Images/P768.jpg
P769,Women,Bottomwear,Pants,Grey,Casual,"S, M, L, XL/XXXL",Solid,Sleeveless,N/A,Rayon,Flared,Grey flared pants with elastic waistband and slit detail.,1400,Images/P769.jpg
P770,Women,Ethnic Wear,Kurti,Pink,Casual,"S, M, L, XL, XXL",Embellished,Three Quarter,Round,Cotton,Straight,Pink cotton kurti with intricate mirror work embroidery on the yoke.,3540,Images/P770.jpg
P771,Women,Western Wear,Top,Blue,Formal,"XS, S, M, L, XL",Floral,Sleeveless,High Neck,Crepe,A-Line,"Blue sleeveless top with all-over pink floral print, ruffled high neck.",1170,Images/P771.jpg
P772,Women,Ethnic Wear,Kurta Set,Beige,Party and Wedding,"S, M, L, XL/XXL",Woven,Three Quarter,Keyhole,Art Silk,Straight,"Beige art silk kurta with golden woven motifs, black dupatta with golden zari border.",1340,Images/P772.jpg
P775,Women,Topwear,Crop Top,White,Casual,"XS, S, M, L, XL",Solid,Long Sleeves,Sweetheart,Cotton Blend,Western,"White crop top with long puffed sleeves, sweetheart neckline.",830,Images/P775.jpg
P776,Women,Bottomwear,Skirt,Navy Blue,Casual,"S, M, L, XL",Solid,NA,NA,Chiffon,Western,"Navy blue tiered midi skirt with front slit, lightweight chiffon.",5120,Images/P776.jpg
